day,time_slot,is_festival,is_holiday,location_type,city_type,nearby_transport,upcoming_festival,crowd_percentage
Thursday,16:00-16:30,No,No,Office Area,Tier III,,No,0.2
Friday,01:30-02:00,No,No,Market,Tier I,Railway Station,Yes,0.7
Saturday,07:30-08:00,Yes,Yes,Recreational,Tier II,Bus Stand,Yes,0.9
Sunday,20:30-21:00,No,Yes,Residential,Tier III,,No,0.35
Monday,11:00-11:30,No,No,Commercial,Tier I,Airport,No,0.45
Tuesday,02:00-02:30,Yes,No,Market,Tier II,Bus Stand,Yes,0.75
Wednesday,21:00-21:30,No,No,Office Area,Tier III,Railway Station,No,0.3
Thursday,11:30-12:00,No,No,Commercial,Tier I,Airport,No,0.55
Tuesday,10:30-11:00,Yes,No,Market,Tier II,None,Yes,0.4533428376430835
Monday,14:30-15:00,Yes,No,Market,Tier II,Bus Stand,Yes,0.277602193195318
Wednesday,10:30-11:00,Yes,No,Office Area,Tier II,None,No,0.48843481060094907
Saturday,19:30-20:00,Yes,Yes,Office Area,Tier II,Bus Stand,No,0.2497882643945608
Saturday,19:00-19:30,Yes,Yes,Commercial,Tier III,None,Yes,0.916671161221718
Monday,21:00-21:30,Yes,No,Office Area,Tier I,None,Yes,0.4870231434363641
Friday,09:30-10:00,No,Yes,Office Area,Tier III,Airport,No,0.7180702623381693
Thursday,03:30-04:00,Yes,No,Residential,Tier III,Railway Station,Yes,0.9524438027025897
Monday,03:30-04:00,No,Yes,Office Area,Tier I,Airport,No,0.02621004536332594
Saturday,09:00-09:30,No,Yes,Residential,Tier II,None,Yes,0.03072609324189901
Thursday,03:30-04:00,No,Yes,Commercial,Tier I,None,No,0.8768665439448162
Wednesday,01:00-01:30,Yes,No,Commercial,Tier III,Railway Station,No,0.14765883652658862
Friday,06:00-06:30,Yes,No,Office Area,Tier III,Bus Stand,No,0.7919664053225617
Thursday,09:00-09:30,Yes,No,Residential,Tier III,Airport,Yes,0.30616358393949694
Friday,11:30-12:00,Yes,No,Market,Tier I,None,Yes,0.7886463024539226
Friday,13:00-13:30,Yes,No,Office Area,Tier III,Bus Stand,Yes,0.19148367687844636
Saturday,00:30-01:00,No,Yes,Commercial,Tier III,Airport,Yes,0.08547962272354148
Sunday,03:00-03:30,Yes,Yes,Market,Tier II,Airport,No,0.036479903856041496
Wednesday,18:00-18:30,Yes,Yes,Commercial,Tier III,Bus Stand,No,0.6991173049197279
Saturday,05:00-05:30,Yes,Yes,Residential,Tier I,Airport,No,0.4681489198483718
Wednesday,01:00-01:30,No,Yes,Office Area,Tier III,None,Yes,0.6312879174848134
Tuesday,19:00-19:30,Yes,No,Residential,Tier III,Railway Station,No,0.25086246370876697
Monday,11:00-11:30,No,No,Residential,Tier III,Railway Station,No,0.9787971587669723
Sunday,07:30-08:00,Yes,No,Office Area,Tier I,Railway Station,Yes,0.7437085957060489
Saturday,07:30-08:00,Yes,No,Office Area,Tier III,Airport,No,0.8154546341855744
Saturday,21:00-21:30,No,Yes,Market,Tier I,None,No,0.604565765177151
Monday,03:00-03:30,No,Yes,Residential,Tier I,Bus Stand,No,0.505842679579159
Monday,23:30-00:00,Yes,No,Office Area,Tier II,Airport,Yes,0.7161902807025847
Wednesday,05:00-05:30,No,Yes,Market,Tier I,Railway Station,No,0.2790329990507403
Monday,18:00-18:30,No,Yes,Residential,Tier II,Railway Station,No,0.6376297003337426
Wednesday,23:00-23:30,No,Yes,Commercial,Tier III,Airport,Yes,0.18660275954109684
Friday,03:30-04:00,No,No,Office Area,Tier II,Railway Station,No,0.419198471376788
Saturday,18:30-19:00,Yes,No,Office Area,Tier III,Airport,Yes,0.7952396448875295
Thursday,10:30-11:00,Yes,Yes,Office Area,Tier I,Bus Stand,Yes,0.5029238359670772
Thursday,04:30-05:00,Yes,No,Residential,Tier I,Railway Station,Yes,0.5322688561489786
Tuesday,05:30-06:00,No,No,Office Area,Tier III,Airport,No,0.10246533980159267
Friday,00:00-00:30,Yes,No,Commercial,Tier II,Airport,No,0.5745012664072802
Thursday,21:30-22:00,No,No,Residential,Tier I,None,Yes,0.04093805283544283
Sunday,02:00-02:30,Yes,No,Residential,Tier I,None,No,0.8880763942782106
Wednesday,07:30-08:00,Yes,No,Office Area,Tier I,Airport,No,0.27909380690214936
Monday,08:00-08:30,No,Yes,Commercial,Tier II,Airport,Yes,0.9741407542175983
Thursday,22:00-22:30,No,No,Commercial,Tier II,Bus Stand,No,0.8536780343471203
Tuesday,17:00-17:30,Yes,No,Market,Tier I,Airport,Yes,0.407399220507233
Saturday,21:30-22:00,Yes,Yes,Commercial,Tier I,Airport,Yes,0.3908946489522097
Saturday,06:30-07:00,Yes,No,Commercial,Tier I,Railway Station,No,0.9425914562012858
Sunday,20:30-21:00,Yes,Yes,Commercial,Tier II,None,No,0.33079232524645674
Monday,20:30-21:00,Yes,No,Market,Tier III,Bus Stand,No,0.4581245746899242
Tuesday,22:00-22:30,Yes,Yes,Commercial,Tier III,Bus Stand,Yes,0.03081176161659016
Monday,10:00-10:30,No,No,Commercial,Tier II,Railway Station,No,0.6441486081792347
Friday,08:00-08:30,Yes,No,Commercial,Tier I,Airport,Yes,0.8329549111958264
Sunday,11:00-11:30,No,No,Office Area,Tier III,Bus Stand,Yes,0.7567223145154925
Sunday,16:00-16:30,Yes,Yes,Residential,Tier II,Airport,No,0.12277314612259993
Tuesday,07:30-08:00,No,Yes,Office Area,Tier III,Railway Station,No,0.4991975232580659
Sunday,21:00-21:30,Yes,Yes,Commercial,Tier III,None,No,0.9430824233535416
Thursday,05:30-06:00,No,No,Commercial,Tier I,Airport,Yes,0.14852279158034154
Tuesday,18:00-18:30,Yes,Yes,Commercial,Tier I,Railway Station,Yes,0.2451375608734897
Thursday,14:30-15:00,Yes,Yes,Office Area,Tier III,Railway Station,No,0.1529538449003085
Tuesday,01:00-01:30,Yes,No,Market,Tier II,Airport,Yes,0.5603844174200178
Thursday,18:30-19:00,Yes,No,Office Area,Tier I,None,No,0.7515558626173412
Thursday,08:00-08:30,Yes,Yes,Commercial,Tier III,Railway Station,No,0.004711163789150152
Wednesday,03:30-04:00,Yes,Yes,Residential,Tier III,Railway Station,No,0.9133247060451354
Thursday,18:30-19:00,Yes,No,Market,Tier II,Airport,Yes,0.6396292102805724
Thursday,01:30-02:00,No,Yes,Market,Tier II,Airport,No,0.420855757282653
Monday,14:30-15:00,Yes,Yes,Commercial,Tier I,Bus Stand,Yes,0.4497574977111558
Saturday,18:00-18:30,Yes,Yes,Office Area,Tier III,None,Yes,0.4791070086613122
Tuesday,19:00-19:30,No,Yes,Commercial,Tier III,Bus Stand,No,0.3920874120839737
Saturday,13:00-13:30,Yes,Yes,Office Area,Tier II,Airport,No,0.00919007767958191
Friday,17:00-17:30,Yes,No,Residential,Tier II,Railway Station,Yes,0.9678345811936927
Thursday,08:30-09:00,Yes,No,Office Area,Tier I,Bus Stand,Yes,0.7305066651987435
Wednesday,06:00-06:30,Yes,No,Residential,Tier I,Airport,No,0.761808174073716
Monday,15:30-16:00,No,No,Commercial,Tier I,Bus Stand,Yes,0.4031447672997094
Thursday,03:00-03:30,Yes,No,Office Area,Tier III,None,Yes,0.9992667756808786
Friday,02:30-03:00,No,No,Market,Tier I,None,Yes,0.660680385633677
Wednesday,11:00-11:30,No,No,Market,Tier II,Airport,Yes,0.004216250197092375
Wednesday,08:00-08:30,No,No,Residential,Tier III,Bus Stand,No,0.5791779515583311
Tuesday,03:00-03:30,No,Yes,Office Area,Tier II,Airport,Yes,0.6948184327553409
Wednesday,21:00-21:30,Yes,Yes,Residential,Tier II,Airport,No,0.18361173490176286
Thursday,23:00-23:30,No,Yes,Office Area,Tier I,Airport,No,0.1776619158200391
Friday,22:00-22:30,Yes,No,Market,Tier II,None,No,0.1353533297214503
Tuesday,15:00-15:30,Yes,No,Residential,Tier I,None,Yes,0.29572582461509167
Friday,01:00-01:30,Yes,Yes,Market,Tier II,Bus Stand,No,0.7913807887050975
Saturday,04:00-04:30,Yes,No,Market,Tier I,Bus Stand,Yes,0.35141632279359947
Sunday,04:30-05:00,Yes,Yes,Office Area,Tier II,Airport,Yes,0.7648118435384249
Friday,09:00-09:30,No,No,Market,Tier I,None,Yes,0.23635825143869194
Friday,12:30-13:00,No,No,Office Area,Tier II,Airport,No,0.21480907701588525
Thursday,09:00-09:30,Yes,Yes,Office Area,Tier II,Railway Station,No,0.7859672127470818
Tuesday,13:30-14:00,No,No,Residential,Tier I,Airport,Yes,0.09431309692950507
Tuesday,21:00-21:30,No,No,Commercial,Tier III,Bus Stand,No,0.47816097462577845
Sunday,02:30-03:00,No,Yes,Commercial,Tier II,Airport,No,0.6015577318397262
Sunday,05:30-06:00,Yes,No,Office Area,Tier II,Railway Station,No,0.8972293243508164
Saturday,16:00-16:30,No,No,Office Area,Tier I,None,Yes,0.6894490155789903
Monday,19:00-19:30,Yes,No,Residential,Tier II,Railway Station,No,0.6630197775088065
Friday,05:00-05:30,Yes,No,Commercial,Tier III,Airport,Yes,0.06154327981495622
Wednesday,21:30-22:00,Yes,No,Residential,Tier III,Bus Stand,Yes,0.7883692580997788
Tuesday,07:00-07:30,No,Yes,Office Area,Tier I,Bus Stand,Yes,0.35359928193814416
Friday,14:00-14:30,No,Yes,Commercial,Tier III,Airport,Yes,0.9105494060664682
Monday,10:00-10:30,No,No,Residential,Tier II,Bus Stand,Yes,0.8530525437393769
Saturday,09:00-09:30,Yes,Yes,Office Area,Tier I,Railway Station,No,0.17812467044306812
Tuesday,00:30-01:00,Yes,Yes,Office Area,Tier III,Airport,Yes,0.13396425046480032
Tuesday,01:30-02:00,No,Yes,Residential,Tier I,Railway Station,Yes,0.6160566437854412
Tuesday,02:30-03:00,Yes,Yes,Residential,Tier III,None,No,0.2508230120022983
Sunday,08:30-09:00,Yes,No,Residential,Tier I,Bus Stand,Yes,0.730166732771478
Wednesday,13:00-13:30,No,Yes,Residential,Tier II,Airport,Yes,0.6381759542348623
Saturday,21:30-22:00,No,Yes,Commercial,Tier III,Airport,Yes,0.016767854672304794
Saturday,20:00-20:30,No,No,Office Area,Tier I,Airport,No,0.5491728281627971
Monday,21:00-21:30,No,Yes,Residential,Tier I,None,Yes,0.6872466808810513
Friday,10:30-11:00,Yes,No,Commercial,Tier I,Bus Stand,Yes,0.1882897086195402
Thursday,06:30-07:00,Yes,Yes,Commercial,Tier III,None,Yes,0.3969788130743691
Friday,19:00-19:30,No,Yes,Residential,Tier II,Railway Station,No,0.6362907652022037
Saturday,11:30-12:00,No,Yes,Office Area,Tier III,Bus Stand,Yes,0.3566858315298188
Tuesday,13:30-14:00,Yes,No,Market,Tier I,Bus Stand,No,0.9910591959340932
Thursday,05:30-06:00,Yes,Yes,Market,Tier II,Airport,No,0.07403961845548668
Friday,00:00-00:30,No,Yes,Market,Tier I,Bus Stand,No,0.7020997104554192
Tuesday,09:30-10:00,No,Yes,Commercial,Tier II,Bus Stand,Yes,0.1292424253082175
Sunday,16:00-16:30,No,No,Residential,Tier II,Airport,Yes,0.11922057641226014
Thursday,18:30-19:00,No,No,Office Area,Tier I,Airport,Yes,0.6604553149859215
Tuesday,08:30-09:00,Yes,No,Market,Tier I,Railway Station,No,0.9868852564826651
Friday,17:00-17:30,No,Yes,Commercial,Tier III,Bus Stand,Yes,0.04981689943121326
Sunday,09:30-10:00,Yes,No,Commercial,Tier II,Railway Station,Yes,0.18838929199227883
Friday,23:30-00:00,Yes,No,Commercial,Tier I,Bus Stand,Yes,0.4254716709969185
Thursday,11:30-12:00,Yes,Yes,Commercial,Tier I,Railway Station,Yes,0.18569106456457674
Thursday,08:30-09:00,No,Yes,Market,Tier I,Railway Station,No,0.5222045282357631
Sunday,10:30-11:00,Yes,Yes,Residential,Tier II,None,Yes,0.467698982998202
Sunday,02:30-03:00,No,Yes,Residential,Tier II,Airport,Yes,0.7377610126076127
Saturday,22:30-23:00,Yes,No,Office Area,Tier III,None,No,0.8823054365237953
Friday,03:00-03:30,No,No,Market,Tier I,Railway Station,No,0.9470556846789325
Sunday,02:00-02:30,Yes,No,Office Area,Tier II,Bus Stand,Yes,0.682176041400826
Sunday,01:00-01:30,Yes,Yes,Office Area,Tier II,Bus Stand,No,0.09224270330392703
Wednesday,16:30-17:00,Yes,No,Residential,Tier II,Airport,No,0.2982955289955995
Friday,12:00-12:30,No,No,Office Area,Tier III,Railway Station,Yes,0.9534806967886847
Monday,13:30-14:00,No,Yes,Residential,Tier III,Railway Station,Yes,0.02378434787170558
Monday,23:00-23:30,Yes,No,Office Area,Tier III,Railway Station,No,0.22222036779947385
Saturday,02:00-02:30,No,No,Residential,Tier I,Railway Station,No,0.9677311908681143
Tuesday,22:30-23:00,Yes,Yes,Market,Tier I,Railway Station,No,0.13542456060343255
Tuesday,23:00-23:30,Yes,Yes,Commercial,Tier I,None,Yes,0.1581886578580427
Tuesday,18:00-18:30,No,No,Residential,Tier I,Airport,Yes,0.2228523873767807
Sunday,05:30-06:00,Yes,Yes,Residential,Tier III,None,No,0.8779296720383405
Thursday,01:30-02:00,Yes,No,Office Area,Tier I,Railway Station,Yes,0.8787187048410342
Sunday,04:30-05:00,Yes,Yes,Residential,Tier I,Bus Stand,No,0.7345289454745919
Tuesday,14:00-14:30,No,Yes,Market,Tier III,Railway Station,No,0.5044691478927251
Sunday,10:30-11:00,No,No,Residential,Tier III,Airport,No,0.9003331684366981
Sunday,12:00-12:30,No,Yes,Commercial,Tier III,Railway Station,No,0.8770769581139757
Tuesday,03:30-04:00,No,Yes,Office Area,Tier III,Airport,Yes,0.044030512972191405
Saturday,16:30-17:00,Yes,No,Market,Tier II,None,No,0.5724380513382405
Wednesday,00:30-01:00,Yes,No,Market,Tier III,Bus Stand,No,0.7285039185852105
Wednesday,07:00-07:30,No,No,Market,Tier III,Bus Stand,Yes,0.4705455823056096
Friday,23:00-23:30,No,Yes,Residential,Tier III,Bus Stand,Yes,0.5962449585502327
Tuesday,00:30-01:00,Yes,Yes,Residential,Tier III,Railway Station,Yes,0.335671558678325
Thursday,04:30-05:00,Yes,Yes,Office Area,Tier I,None,No,0.7432942296255329
Saturday,02:30-03:00,Yes,No,Office Area,Tier II,Airport,No,0.7737899632965676
Thursday,18:00-18:30,No,No,Commercial,Tier II,None,Yes,0.0570983884011147
Thursday,02:00-02:30,Yes,Yes,Commercial,Tier I,Railway Station,Yes,0.682919953517228
Thursday,01:30-02:00,Yes,Yes,Residential,Tier II,None,No,0.1511099485237839
Friday,21:30-22:00,Yes,Yes,Commercial,Tier I,Bus Stand,Yes,0.40054403858116383
Monday,18:00-18:30,No,No,Residential,Tier I,Bus Stand,Yes,0.20854144979833633
Friday,19:30-20:00,Yes,No,Market,Tier II,Airport,Yes,0.5249429769294427
Thursday,19:00-19:30,Yes,Yes,Residential,Tier II,Airport,No,0.7312829982768483
Tuesday,22:00-22:30,No,Yes,Commercial,Tier III,Railway Station,No,0.07273910328940791
Monday,18:00-18:30,Yes,No,Residential,Tier I,Bus Stand,Yes,0.0546870390602201
Sunday,01:30-02:00,Yes,Yes,Residential,Tier II,Bus Stand,Yes,0.9525755649672746
Thursday,05:00-05:30,No,Yes,Commercial,Tier I,Railway Station,Yes,0.5309252573939592
Tuesday,03:00-03:30,Yes,Yes,Commercial,Tier I,Bus Stand,Yes,0.6422796467143543
Sunday,20:30-21:00,Yes,No,Commercial,Tier II,Airport,Yes,0.48635352104551277
Wednesday,19:00-19:30,No,No,Office Area,Tier III,None,Yes,0.3896735894979759
Wednesday,22:30-23:00,No,Yes,Commercial,Tier I,Railway Station,Yes,0.26856566066202237
Wednesday,22:30-23:00,Yes,No,Office Area,Tier III,None,No,0.7442847283874389
Wednesday,16:30-17:00,No,No,Market,Tier III,Airport,No,0.8870577219759935
Monday,18:00-18:30,Yes,Yes,Commercial,Tier II,None,No,0.8167663428250306
Wednesday,00:30-01:00,No,No,Commercial,Tier III,Airport,Yes,0.15120198509542537
Monday,04:00-04:30,No,No,Market,Tier III,Airport,Yes,0.1668295296834016
Friday,05:00-05:30,No,No,Commercial,Tier III,Railway Station,No,0.12103457784352456
Saturday,23:00-23:30,Yes,Yes,Office Area,Tier III,Bus Stand,No,0.9431482990303645
Tuesday,08:30-09:00,Yes,No,Office Area,Tier III,Railway Station,Yes,0.8156528092483707
Saturday,16:30-17:00,No,Yes,Market,Tier I,Railway Station,Yes,0.9351908043659796
Wednesday,11:30-12:00,No,Yes,Market,Tier II,Airport,Yes,0.708358941558625
Wednesday,21:00-21:30,No,No,Market,Tier II,Bus Stand,No,0.5310469024028104
Wednesday,22:30-23:00,No,Yes,Office Area,Tier I,Airport,No,0.17912129660517706
Thursday,22:00-22:30,No,No,Market,Tier I,None,Yes,0.41983841796384114
Tuesday,21:30-22:00,No,No,Residential,Tier II,Railway Station,Yes,0.6193694640905618
Tuesday,22:00-22:30,No,No,Market,Tier I,Bus Stand,Yes,0.634436120396971
Saturday,06:00-06:30,No,Yes,Residential,Tier II,Airport,No,0.6273503854375426
Thursday,11:30-12:00,No,No,Office Area,Tier III,None,No,0.41958901001514237
Wednesday,13:30-14:00,No,Yes,Residential,Tier I,Bus Stand,No,0.18707689042632591
Saturday,11:30-12:00,No,No,Market,Tier III,Railway Station,Yes,0.1358771720814157
Thursday,17:30-18:00,Yes,Yes,Commercial,Tier I,Railway Station,No,0.1804682890397702
Wednesday,04:30-05:00,Yes,No,Office Area,Tier II,None,No,0.5716616279043524
Sunday,02:00-02:30,No,No,Residential,Tier I,Airport,Yes,0.8993394421367851
Sunday,20:30-21:00,Yes,No,Office Area,Tier III,Airport,No,0.4948925774032096
Tuesday,01:00-01:30,Yes,No,Market,Tier I,Airport,Yes,0.8783162416706337
Monday,13:00-13:30,Yes,Yes,Office Area,Tier III,Airport,No,0.6357805363378529
Saturday,02:30-03:00,No,Yes,Residential,Tier III,Railway Station,Yes,0.0693297679364383
Saturday,10:30-11:00,No,Yes,Market,Tier I,Airport,No,0.8551049185271526
Sunday,09:00-09:30,Yes,Yes,Market,Tier I,None,Yes,0.5318865012092757
Friday,00:30-01:00,Yes,No,Market,Tier II,Bus Stand,Yes,0.6909654217879152
Thursday,06:30-07:00,Yes,Yes,Commercial,Tier III,Airport,Yes,0.1356624348115396
Saturday,11:00-11:30,Yes,Yes,Market,Tier II,None,No,0.23977428993115069
Thursday,13:00-13:30,No,Yes,Commercial,Tier I,Bus Stand,No,0.6738951662878652
Friday,04:30-05:00,No,No,Commercial,Tier III,Airport,Yes,0.7510085321097478
Friday,05:30-06:00,Yes,Yes,Market,Tier I,Railway Station,No,0.45061092298449423
Saturday,12:30-13:00,No,Yes,Residential,Tier III,Railway Station,Yes,0.8368280770815458
Saturday,16:30-17:00,Yes,No,Commercial,Tier III,Bus Stand,No,0.28854436320655863
Thursday,02:30-03:00,No,No,Commercial,Tier I,None,Yes,0.31445619646165346
Saturday,10:00-10:30,Yes,Yes,Residential,Tier II,Railway Station,Yes,0.65148712529085
Wednesday,22:00-22:30,Yes,No,Residential,Tier III,Bus Stand,Yes,0.3029078319559184
Saturday,23:00-23:30,No,No,Commercial,Tier III,None,Yes,0.7671858258348773
Wednesday,10:30-11:00,Yes,Yes,Market,Tier I,Bus Stand,Yes,0.10372726960864964
Friday,20:00-20:30,No,No,Market,Tier I,Railway Station,No,0.02534809470721766
Monday,20:00-20:30,No,Yes,Commercial,Tier I,Bus Stand,Yes,0.600314775767089
Tuesday,06:00-06:30,Yes,Yes,Commercial,Tier I,None,Yes,0.21714131607850895
Friday,12:00-12:30,Yes,Yes,Market,Tier I,Airport,Yes,0.5433883726806249
Wednesday,07:30-08:00,Yes,Yes,Market,Tier I,None,Yes,0.5884170317286714
Monday,00:00-00:30,No,Yes,Commercial,Tier I,Airport,Yes,0.5154108315836506
Tuesday,00:00-00:30,No,Yes,Market,Tier II,None,No,0.402004578717051
Tuesday,17:30-18:00,Yes,No,Office Area,Tier III,Bus Stand,Yes,0.4678673733752756
Saturday,17:30-18:00,Yes,Yes,Market,Tier I,Airport,Yes,0.7245146104512685
Tuesday,23:30-00:00,Yes,No,Market,Tier II,Airport,Yes,0.4868974555722322
Sunday,00:30-01:00,No,No,Residential,Tier I,Bus Stand,No,0.6323048641260841
Friday,00:00-00:30,Yes,No,Commercial,Tier III,Airport,Yes,0.03753390776444687
Monday,03:00-03:30,Yes,No,Office Area,Tier III,Bus Stand,No,0.598304446623939
Thursday,17:00-17:30,No,Yes,Market,Tier III,Bus Stand,Yes,0.6413849721141808
Monday,10:00-10:30,Yes,Yes,Office Area,Tier I,Bus Stand,Yes,0.5479900437264622
Wednesday,14:00-14:30,No,Yes,Residential,Tier II,None,Yes,0.9074529196152761
Saturday,05:00-05:30,No,Yes,Residential,Tier I,None,Yes,0.47861336382993025
Sunday,01:30-02:00,No,No,Commercial,Tier III,Bus Stand,Yes,0.7566762688766214
Thursday,14:00-14:30,Yes,Yes,Market,Tier III,Bus Stand,Yes,0.9753384992445777
Monday,17:30-18:00,Yes,Yes,Office Area,Tier III,None,Yes,0.19246764123297155
Monday,23:00-23:30,Yes,Yes,Market,Tier I,Airport,Yes,0.2999112298055906
Sunday,05:00-05:30,No,Yes,Market,Tier II,None,No,0.7440099680195493
Saturday,01:00-01:30,Yes,No,Commercial,Tier I,None,No,0.9438672543900403
Sunday,08:00-08:30,Yes,Yes,Residential,Tier III,Railway Station,Yes,0.6685541346906299
Sunday,12:30-13:00,Yes,No,Residential,Tier I,Bus Stand,Yes,0.21519990876278505
Friday,16:00-16:30,Yes,Yes,Market,Tier III,None,No,0.842085280897407
Thursday,11:30-12:00,No,No,Residential,Tier III,None,Yes,0.8063344628148407
Monday,09:00-09:30,Yes,No,Office Area,Tier III,Bus Stand,No,0.21567193261652262
Monday,23:30-00:00,Yes,Yes,Commercial,Tier III,None,Yes,0.914033730485824
Saturday,02:00-02:30,No,Yes,Market,Tier III,Railway Station,Yes,0.5911105968941887
Monday,13:30-14:00,Yes,No,Market,Tier II,None,Yes,0.7731996578461252
Friday,19:30-20:00,No,No,Market,Tier I,Airport,No,0.603317426271762
Thursday,00:00-00:30,No,No,Office Area,Tier III,Bus Stand,Yes,0.21280883400379424
Saturday,09:30-10:00,Yes,No,Office Area,Tier III,None,No,0.7336332430553154
Sunday,08:00-08:30,Yes,No,Market,Tier II,Bus Stand,Yes,0.2504613500454932
Wednesday,23:00-23:30,No,Yes,Residential,Tier III,None,Yes,0.6546136087941584
Sunday,06:00-06:30,No,Yes,Commercial,Tier II,Bus Stand,No,0.18803974605115492
Saturday,15:30-16:00,Yes,No,Market,Tier II,Railway Station,Yes,0.9851709746624299
Tuesday,13:00-13:30,Yes,No,Office Area,Tier II,Railway Station,Yes,0.6082602058372472
Saturday,01:30-02:00,Yes,Yes,Commercial,Tier II,None,No,0.3549562625863011
Tuesday,11:00-11:30,No,Yes,Residential,Tier I,None,Yes,0.054090043118389164
Tuesday,23:30-00:00,Yes,No,Commercial,Tier I,Railway Station,Yes,0.7880011744818202
Tuesday,00:00-00:30,Yes,Yes,Residential,Tier I,None,No,0.2985465953893486
Wednesday,03:30-04:00,No,Yes,Residential,Tier I,None,Yes,0.8178372733698495
Wednesday,15:30-16:00,No,Yes,Commercial,Tier II,Airport,No,0.7754284418927007
Wednesday,06:30-07:00,Yes,No,Residential,Tier I,Bus Stand,Yes,0.5575735812933822
Thursday,18:30-19:00,Yes,Yes,Office Area,Tier I,None,No,0.2596347725527177
Tuesday,12:00-12:30,No,No,Office Area,Tier II,None,Yes,0.8736830313377869
Friday,00:00-00:30,Yes,Yes,Office Area,Tier II,Airport,No,0.46312609624659173
Friday,11:30-12:00,Yes,No,Market,Tier III,Railway Station,No,0.616063628663139
Thursday,03:00-03:30,No,No,Commercial,Tier II,Railway Station,Yes,0.22576441879533105
Sunday,06:30-07:00,No,No,Market,Tier I,Bus Stand,Yes,0.6704676704207523
Monday,16:30-17:00,Yes,Yes,Residential,Tier III,Airport,Yes,0.9281015920487864
Wednesday,23:30-00:00,No,Yes,Office Area,Tier I,Bus Stand,No,0.7591476517115409
Sunday,11:00-11:30,Yes,Yes,Residential,Tier I,Airport,Yes,0.994858439603114
Monday,13:00-13:30,No,No,Market,Tier II,Railway Station,No,0.4187285181205238
Monday,23:00-23:30,Yes,No,Residential,Tier III,Bus Stand,No,0.3719827046113836
Monday,18:30-19:00,Yes,Yes,Office Area,Tier III,None,No,0.5542194883872844
Friday,12:30-13:00,No,Yes,Market,Tier II,Airport,Yes,0.25717468137385957
Saturday,03:00-03:30,No,No,Market,Tier I,None,Yes,0.6237821012968716
Monday,00:30-01:00,Yes,Yes,Commercial,Tier II,Railway Station,Yes,0.41053109925862075
Wednesday,10:30-11:00,No,No,Commercial,Tier II,None,No,0.7596984209751191
